>TARREC   rectangular prism; AX,AY,AZ= 16.0000 32.0000 32.0000
     75999 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000 -16.50000 -16.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
   JA  IX  IY  IZ ICOMP(x,y,z)
 446 -17  -8 -23   2   2   2
 447 -16  -8 -23   2   2   2
 448 -15  -8 -23   2   2   2
 449 -14  -8 -23   2   2   2
 450 -13  -8 -23   2   2   2
 451 -12  -8 -23   2   2   2
 452 -11  -8 -23   2   2   2
 453 -10  -8 -23   2   2   2
 454  -9  -8 -23   2   2   2
 455  -8  -8 -23   2   2   2
 456  -7  -8 -23   2   2   2
 457  -6  -8 -23   2   2   2
 458  -5  -8 -23   2   2   2
 459  -4  -8 -23   2   2   2
 460  -3  -8 -23   2   2   2
 461  -2  -8 -23   2   2   2
 462  -1  -8 -23   2   2   2
 463   0  -8 -23   2   2   2
 464   1  -8 -23   2   2   2
 465   2  -8 -23   2   2   2
 466   3  -8 -23   2   2   2
 467   4  -8 -23   2   2   2
 468   5  -8 -23   2   2   2
 469   6  -8 -23   2   2   2
 470   7  -8 -23   2   2   2
 471   8  -8 -23   2   2   2
 472   9  -8 -23   2   2   2
 473  10  -8 -23   2   2   2
 474  11  -8 -23   2   2   2
 475  12  -8 -23   2   2   2
 476  13  -8 -23   2   2   2
 477  14  -8 -23   2   2   2
 478  15  -8 -23   2   2   2
 479  16  -8 -23   2   2   2
 480  17  -8 -23   2   2   2
 481  18  -8 -23   2   2   2
 482  19  -8 -23   2   2   2
 483 -19  -7 -23   2   2   2
 484 -18  -7 -23   2   2   2
 485 -17  -7 -23   2   2   2
 486 -16  -7 -23   2   2   2
 487 -15  -7 -23   2   2   2
 488 -14  -7 -23   2   2   2
 489 -13  -7 -23   2   2   2
 490 -12  -7 -23   2   2   2
 491 -11  -7 -23   2   2   2
 492 -10  -7 -23   2   2   2
 493  -9  -7 -23   2   2   2
 494  -8  -7 -23   2   2   2
 495  -7  -7 -23   2   2   2
 496  -6  -7 -23   2   2   2
 497  -5  -7 -23   2   2   2
 498  -4  -7 -23   2   2   2
 499  -3  -7 -23   2   2   2
